model,iou_threshold,precision,recall,f1
rtdetr,0.3,0.06688219842392402,0.051589775561097256,0.05824901011878575
rtdetr,0.4,0.028086482117599516,0.021664588528678305,0.024461064672239335
rtdetr,0.5,0.011315417256011316,0.008728179551122194,0.00985481742190937
rtdetr,0.6,0.004445342493433016,0.003428927680798005,0.00387153541575011
rtdetr,0.7,0.0008082440897150939,0.0006234413965087282,0.0007039155301363836
rtdetr,0.75,0.00040412204485754696,0.0003117206982543641,0.0003519577650681918
yolo8,0.3,0.12004573170731707,0.09819201995012469,0.1080246913580247
yolo8,0.4,0.05697408536585366,0.04660224438902743,0.05126886145404664
yolo8,0.5,0.027629573170731708,0.022599750623441398,0.024862825788751715
yolo8,0.6,0.009336890243902439,0.00763715710723192,0.008401920438957476
yolo8,0.7,0.0024771341463414634,0.0020261845386533666,0.0022290809327846365
yolo8,0.75,0.0013338414634146342,0.0010910224438902742,0.0012002743484224967
yolo9,0.3,0.12713983458357375,0.10302369077306733,0.11381833835557469
yolo9,0.4,0.06174264281592614,0.050031172069825436,0.05527335342229875
yolo9,0.5,0.028082323523754567,0.02275561097256858,0.025139905294877314
yolo9,0.6,0.01154068090017311,0.009351620947630923,0.010331467929401636
yolo9,0.7,0.003462204270051933,0.002805486284289277,0.0030994403788204908
yolo9,0.75,0.0021157914983650702,0.0017144638403990024,0.0018941024537236333
yolo10,0.3,0.11811905206195186,0.09865960099750623,0.10751592356687899
yolo10,0.4,0.05896622504198545,0.049251870324189526,0.05367303609341827
yolo10,0.5,0.026684082851278223,0.022288029925187032,0.024288747346072188
yolo10,0.6,0.00988990483299123,0.008260598503740649,0.009002123142250532
yolo10,0.7,0.0016794178018286995,0.0014027431421446384,0.0015286624203821658
yolo10,0.75,0.0013062138458667662,0.0010910224438902742,0.00118895966029724
yolo11,0.3,0.11995515695067265,0.10006234413965087,0.10910944935418082
yolo11,0.4,0.05848281016442451,0.04878428927680798,0.05319510537049626
yolo11,0.5,0.026532137518684603,0.02213216957605985,0.02413324269204623
yolo11,0.6,0.00952914798206278,0.007948877805486284,0.008667573079537728
yolo11,0.7,0.0029895366218236174,0.0024937655860349127,0.0027192386131883075
yolo11,0.75,0.0016816143497757848,0.0014027431421446384,0.001529571719918423
yolo12,0.3,0.11657203690560682,0.1024002493765586,0.10902754729505476
yolo12,0.4,0.056422995031937546,0.04956359102244389,0.05277132426153336
yolo12,0.5,0.025904897090134847,0.02275561097256858,0.0242283438433455
yolo12,0.6,0.009758694109297373,0.008572319201995013,0.009127115831397277
yolo12,0.7,0.0028388928317956,0.0024937655860349127,0.002655160969133754
yolo12,0.75,0.001242015613910575,0.0010910224438902742,0.0011616329239960172
yolow,0.3,0.11748067131812182,0.09710099750623441,0.10632306510794436
yolow,0.4,0.0614746369979257,0.050810473815461346,0.05563614642887618
yolow,0.5,0.02715444088251933,0.022443890274314215,0.024575475723184578
yolow,0.6,0.010937205355459174,0.00903990024937656,0.009898455499616009
yolow,0.7,0.003017160098057703,0.0024937655860349127,0.0027306084136871746
yolow,0.75,0.0022628700735432775,0.0018703241895261845,0.002047956310265381
yoloe,0.3,0.12554772337588113,0.10271197007481296,0.11298756965280755
yoloe,0.4,0.0647742427128977,0.0529925187032419,0.05829404200600086
yoloe,0.5,0.030100971613640694,0.024625935162094763,0.027089584226318048
yoloe,0.6,0.011049723756906077,0.00903990024937656,0.009944277753964852
yoloe,0.7,0.003619737092779577,0.0029613466334164587,0.003257608229747107
yoloe,0.75,0.0017146123071061154,0.0014027431421446384,0.0015430775825117874
