model,size_category,tp,fp,fn,precision,recall,f1
rtdetr,tiny,0,0,0,0.0,0.0,0.0
rtdetr,small,31,64,12,0.3263157894736842,0.7209302325581395,0.4492753623188405
rtdetr,medium,193,612,18,0.23975155279503105,0.9146919431279621,0.3799212598425197
rtdetr,large,0,0,0,0.0,0.0,0.0
yolo8,tiny,0,0,0,0.0,0.0,0.0
yolo8,small,33,7,10,0.825,0.7674418604651163,0.7951807228915662
yolo8,medium,188,16,23,0.9215686274509803,0.8909952606635071,0.9060240963855422
yolo8,large,0,0,0,0.0,0.0,0.0
yolo9,tiny,0,0,0,0.0,0.0,0.0
yolo9,small,33,46,10,0.4177215189873418,0.7674418604651163,0.5409836065573771
yolo9,medium,205,99,6,0.6743421052631579,0.9715639810426541,0.7961165048543689
yolo9,large,0,0,0,0.0,0.0,0.0
yolo10,tiny,0,0,0,0.0,0.0,0.0
yolo10,small,35,9,8,0.7954545454545454,0.813953488372093,0.8045977011494252
yolo10,medium,191,32,20,0.8565022421524664,0.9052132701421801,0.8801843317972351
yolo10,large,0,1,0,0.0,0.0,0.0
yolo11,tiny,0,0,0,0.0,0.0,0.0
yolo11,small,31,7,12,0.8157894736842105,0.7209302325581395,0.765432098765432
yolo11,medium,178,8,33,0.956989247311828,0.8436018957345972,0.8967254408060453
yolo11,large,0,1,0,0.0,0.0,0.0
yolo12,tiny,0,0,0,0.0,0.0,0.0
yolo12,small,31,6,12,0.8378378378378378,0.7209302325581395,0.7749999999999999
yolo12,medium,179,10,32,0.9470899470899471,0.8483412322274881,0.8949999999999999
yolo12,large,0,0,0,0.0,0.0,0.0
yolow,tiny,0,0,0,0.0,0.0,0.0
yolow,small,32,8,11,0.8,0.7441860465116279,0.7710843373493975
yolow,medium,179,9,32,0.9521276595744681,0.8483412322274881,0.8972431077694235
yolow,large,0,0,0,0.0,0.0,0.0
yoloe,tiny,0,0,0,0.0,0.0,0.0
yoloe,small,34,9,9,0.7906976744186046,0.7906976744186046,0.7906976744186046
yoloe,medium,191,14,20,0.9317073170731708,0.9052132701421801,0.9182692307692308
yoloe,large,0,0,0,0.0,0.0,0.0
