method,map50,map50_95,f1,precision,recall,tp,fp,fn,total_gt,total_pred
Threshold 0.0,0.36747172104120374,0.18863181568990536,0.4004372950179603,0.2848888888888889,0.6736731476615869,1282,3218,621,1903,4500
Threshold 0.05,0.3490270062543765,0.18096786002562204,0.43153070577451874,0.33136261261261263,0.6184971098265896,1177,2375,726,1903,3552
Threshold 0.1,0.32059893501148223,0.1671488335138473,0.4500659920809503,0.3870601589103292,0.5375722543352601,1023,1620,880,1903,2643
Threshold 0.2,0.2320474521359842,0.12017318878372915,0.4020421186981493,0.511779041429732,0.3310562270099842,630,601,1273,1903,1231
Threshold 0.25,0.19449123137397759,0.1023344200942434,0.36290909090909085,0.58913813459268,0.26221755123489227,499,348,1404,1903,847
Threshold 0.3,0.15770668410004585,0.08441746335958339,0.31469648562300323,0.6555740432612313,0.2070415133998949,394,207,1509,1903,601
Threshold 0.4,0.09759190634789275,0.05246403066918611,0.19155696777122105,0.7033333333333334,0.11087756174461377,211,89,1692,1903,300
Threshold 0.5,0.052572130511666385,0.028102416647654477,0.09693372898120672,0.8235294117647058,0.051497635312664214,98,21,1805,1903,119
Threshold 0.6,0.019094766619519095,0.012198351948674807,0.03903441191576785,0.8636363636363636,0.019968470835522858,38,6,1865,1903,44
TSBP,0.052572130511666385,0.030095782407032996,0.11067961165048544,0.7261146496815286,0.05990541250656858,114,43,1789,1903,157
TSBP_A,0.29690614661212295,0.1527350089099087,0.39450897571277715,0.3298022598870056,0.4908039936941671,934,1898,969,1903,2832
TSBP_H,0.0,0.0,0.0,0.0,0.0,0,0,1903,1903,0
TSBP_PP,0.20025077087618032,0.10597110487072936,0.3722419928825623,0.5766262403528115,0.2748292170257488,523,384,1380,1903,907
